ID,Formula,Density,OB2,Mass,Volume,Ro(g/cm^3),Area,PosArea,NegArea,Ave,PosAve,NegAve,Sigma2,PosSigma2,NegSigma2,Nu,NuSigma2,Pi,MPI,NonPolarArea,PolarArea,Sphericity,HSub,Dipole
ske_55_7_9,C3HN7O4,1.891957647,-20.09959349,199.009,175.42135,1.8845,180.62449,85.70121,94.92328,3.3924,21.74366,-13.17598,283.24439,238.58767,44.65672,0.13280431,37.61607,17.55536,17.2411,51,129.62,0.839,91.15635868,1.753962162
ske_55_8_19,C3N8O6,1.9611838,,243.99408,206.39076,1.9638,209.56391,111.54275,98.02116,5.31271,18.38227,-9.55973,190.61064,151.51913,39.09151,0.16302552,31.0744,14.51149,14.25563,91.42,118.14,0.8059,99.90898111,0.890891581
ske_55_8_7,C3HN7O4,1.907965314,-20.09959349,199.009,175.89922,1.8794,183.14335,93.31463,89.82872,4.31051,22.06462,-14.13257,286.92215,226.35905,60.56311,0.16652439,47.77954,18.35073,18.17408,54.87,128.27,0.829,97.55564421,1.947944741
ske_55_8_9,C3HN7O4,1.905358488,-20.09959349,199.009,176.04006,1.8779,183.47783,94.00765,89.47017,4.58566,22.09714,-13.81391,291.23477,231.83368,59.4011,0.16236206,47.28548,18.23648,18.05795,56.19,127.29,0.8279,97.44531339,1.811981301
ske_56_10_19,C4N8O6,1.907339321,,255.99408,220.09467,1.9321,222.45325,112.27282,110.18043,6.33774,20.61196,-8.20756,248.27315,224.83336,23.43979,0.08549781,21.22681,15.2093,14.4681,107.75,114.71,0.7925,99.45241947,0.732992292
ske_56_10_20,C4H2N8O4,1.866855345,-35.39511344,226.0199,204.5114,1.8359,206.01447,98.55367,107.4608,3.67645,25.48745,-16.32669,332.34546,271.23349,61.11197,0.15006869,49.87465,21.00678,20.70904,44.03,161.98,0.8148,108.5284371,3.104402443
ske_56_10_21,C4H2N8O4,1.827112998,-35.39511344,226.0199,204.54694,1.8356,206.77703,104.47579,102.30124,4.40313,21.60072,-13.16001,199.58908,161.04724,38.54184,0.15581604,31.09918,17.60308,17.42474,52.98,153.8,0.8119,98.62874042,1.900830653
ske_56_10_22,C4H2N8O4,1.849315086,-35.39511344,226.0199,204.11076,1.8395,205.58626,103.63667,101.94959,4.17433,21.42433,-13.36113,220.21836,168.20437,52.01398,0.18040575,39.72866,17.5977,17.42581,58.3,147.29,0.8155,103.0931267,1.960807612
ske_56_11_19,C4N8O6,1.919276877,,255.99408,219.03675,1.9415,221.73364,110.70182,111.03182,6.1019,20.97023,-8.72224,251.20326,226.55672,24.64654,0.0884876,22.22837,15.57923,14.83712,100.51,121.23,0.7925,99.8369241,0.529627757
ske_56_12_19,C4N8O6,1.911992184,,255.99408,219.37464,1.9385,224.93392,108.86905,116.06487,6.29632,23.12097,-9.48524,261.88424,239.76135,22.12289,0.07733966,20.25404,16.88727,16.085,90.84,134.1,0.782,99.95459601,0.321026068
ske_56_13_19,C4N8O6,1.930262488,,255.99408,218.71874,1.9443,222.45572,113.29778,109.15794,6.25199,20.91172,-8.9637,262.06146,232.70916,29.3523,0.09946019,26.06468,15.68897,15.04889,101.86,120.6,0.7892,102.8908792,0.315957713
ske_56_14_19,C4N8O6,1.908728109,,255.99408,219.71616,1.9355,224.13069,108.64871,115.48198,6.22485,22.2415,-8.84407,259.35424,237.28139,22.07284,0.07786374,20.19429,16.16138,15.33855,97.96,126.17,0.7856,99.50599613,0.517053162
ske_56_15_19,C4N8O6,1.922846697,,255.99408,219.2044,1.94,225.17284,113.10242,112.07042,6.40919,21.92832,-9.25285,270.50681,243.04289,27.46391,0.09121977,24.67557,16.32877,15.61963,93.88,131.29,0.7808,103.2972991,0.426718017
ske_56_16_19,C4N8O6,1.925468648,,255.99408,218.70205,1.9444,220.99749,112.25748,108.74001,6.22712,20.77705,-8.79346,269.06929,242.76587,26.30343,0.08820063,23.73208,15.60978,14.88062,101.4,119.6,0.7943,100.555453,0.338417475
ske_56_16_22,C4H2N8O4,1.854158657,-35.39511344,226.0199,204.02073,1.8403,206.3011,94.5754,111.7257,2.64678,22.09054,-13.8123,264.56396,212.79898,51.76499,0.15737809,41.63657,17.91591,17.60732,57.05,149.25,0.8124,104.4540427,2.770423081
ske_56_17_5,C3N8O4,1.875465555,,212.00425,185.45828,1.8989,192.55338,94.10301,98.45037,5.56565,21.33525,-9.50759,242.30371,217.0916,25.21211,0.09322494,22.58875,15.94532,15.28791,80.84,111.71,0.8168,86.60109054,0.594025247
ske_56_18_5,C3N8O4,1.886217844,,212.00425,184.72062,1.9065,192.87739,97.12466,95.75273,5.65892,21.29075,-10.19687,251.30934,224.53395,26.77538,0.095192,23.92264,16.32111,15.78326,72.8,120.07,0.8132,87.69500157,0.439044154
ske_56_19_5,C3N8O4,1.883254967,,212.00425,184.67962,1.9069,192.7196,94.72071,97.9989,5.74142,22.05449,-10.02594,252.93488,228.20441,24.73047,0.0882143,22.31247,16.56993,15.93791,72.83,119.89,0.8138,86.47141105,0.291569854
ske_56_1_65,C5N8O8,1.940586489,,299.98391,252.50155,1.9736,245.344,120.89463,124.44937,6.40108,20.94073,-7.72327,247.54985,229.90881,17.64104,0.06618422,16.38389,15.14747,14.23625,125.79,119.55,0.7874,107.5478678,0.817990346
ske_56_1_66,C5H2N8O6,1.916383048,-29.6285619,270.00973,236.61413,1.8957,229.59093,111.66372,117.92721,3.66762,23.1436,-14.77393,268.13645,213.22279,54.91365,0.16285544,43.66748,19.11232,18.8446,58.42,171.17,0.8058,116.8625705,3.289024688
ske_56_1_67,C5H2N8O6,1.885893815,-29.6285619,270.00973,235.92102,1.9012,230.52609,118.79386,111.73223,6.08332,22.65434,-11.53502,193.75796,162.21375,31.54421,0.1362976,26.40875,17.54961,17.26499,68.68,161.84,0.801,107.2046152,1.348019077
ske_56_1_68,C5H2N8O6,1.88798179,-29.6285619,270.00973,237.02993,1.8924,230.91498,124.24264,106.67234,5.85829,20.64247,-11.36104,194.78502,154.78284,40.00218,0.16319069,31.7871,16.43511,16.35487,79.99,150.93,0.8021,110.8488367,1.246086273
ske_56_1_69,C5H2N8O6,1.888013323,-29.6285619,270.00973,236.57403,1.896,228.83621,109.33403,119.50218,3.72251,22.42119,-13.38515,204.68781,168.16087,36.52694,0.14660685,30.00863,18.0113,17.70242,55.92,172.92,0.8084,108.6776403,2.60815259
ske_56_1_70,C5H4N8O4,1.79913015,-53.3254345,240.03555,223.56113,1.7837,219.11658,112.05344,107.06314,3.10539,21.96622,-16.63457,252.99334,196.94724,56.0461,0.17245554,43.6301,19.39104,19.36111,49.27,169.84,0.813,111.5951471,3.480345072
ske_56_1_72,C5H4N8O4,1.821564778,-53.3254345,240.03555,222.46084,1.7925,217.64761,118.09487,99.55275,4.98131,23.73707,-17.2678,266.86101,200.35994,66.50107,0.18709806,49.92918,20.60207,20.778,43.97,173.68,0.8158,114.0582273,2.712721876
ske_56_1_73,C5H4N8O4,1.836484643,-53.3254345,240.03555,220.9986,1.8043,213.63512,113.30236,100.33276,1.72945,17.89182,-16.52216,227.86456,150.32048,77.54408,0.22449839,51.15523,17.18401,17.24856,60.45,153.18,0.8274,112.7209869,1.428535726
ske_56_20_5,C3N8O4,1.881032748,,212.00425,185.1965,1.9016,192.3233,93.86594,98.45736,5.77444,21.36711,-9.09109,255.04151,228.35432,26.68719,0.09368936,23.89468,15.80199,15.08257,85.61,106.71,0.817,87.43695068,0.513103576
ske_56_21_19,C4N8O6,1.916336773,,255.99408,218.91913,1.9425,219.73918,107.31514,112.42404,6.28455,21.75861,-8.48633,264.98643,242.79845,22.18799,0.0767214,20.33013,15.85748,14.96818,101.26,118.48,0.7994,97.43358804,0.28037617
ske_56_22_19,C4N8O6,1.907062736,,255.99408,219.41987,1.9381,223.65972,106.8504,116.80931,6.4595,23.28294,-8.92962,265.66086,246.11714,19.54372,0.06815441,18.10596,16.70307,15.78672,95.92,127.74,0.7866,97.62335115,0.225384634
ske_56_23_19,C4N8O6,1.925393843,,255.99408,218.5731,1.9456,220.69399,109.34245,111.35153,6.47115,21.90288,-8.68215,276.1976,250.75532,25.44228,0.08363083,23.09863,16.05819,15.23234,103,117.69,0.7951,99.9540878,0.199303763
ske_56_24_19,C4N8O6,1.910009698,,255.99408,218.41007,1.947,217.52868,107.08294,110.44574,6.21353,20.67772,-7.81025,251.16108,235.05256,16.10852,0.06002276,15.07538,14.98789,14.14453,112.76,104.77,0.8063,92.0331703,0.232842819
ske_56_25_19,C4N8O6,1.926255978,,255.99408,217.75705,1.9529,218.2124,108.65955,109.55285,6.42997,21.53462,-8.55152,272.03645,250.45138,21.58507,0.07305043,19.87238,15.8225,15.0165,99.74,118.47,0.8021,96.33469376,0.132481334
ske_56_26_19,C4N8O6,1.925930068,,255.99408,217.34011,1.9566,213.7615,106.00851,107.75299,6.23726,20.43063,-7.72632,262.88028,243.59102,19.28926,0.06799247,17.87388,14.91577,14.02663,110.64,103.13,0.8178,92.60005049,0.272351486
ske_56_27_5,C3N8O4,1.869407069,,212.00425,185.52513,1.8982,191.09172,91.64605,99.44567,5.81241,21.88039,-8.99534,248.54982,226.55008,21.99974,0.08067794,20.05249,15.96577,15.17491,84.85,106.24,0.8232,84.07891272,0.383552159
ske_56_28_5,C3N8O4,1.884287733,,212.00425,184.61636,1.9076,191.08942,93.54629,97.54313,5.99549,22.62423,-9.95188,268.0425,243.30372,24.73878,0.08377601,22.45553,16.87745,16.15552,73.01,118.08,0.8205,85.87711337,0.258066032
ske_56_29_5,C3N8O4,1.879441989,,212.00425,184.6436,1.9073,191.24874,91.47184,99.77689,5.96025,22.86882,-9.54091,264.34756,242.19339,22.15417,0.07678336,20.29749,16.72356,15.91548,76.35,114.9,0.8199,84.33414872,0.290348693
ske_56_2_65,C5N8O8,1.934055757,,299.98391,253.13803,1.9686,250.02317,124.11394,125.90923,6.73262,21.73552,-8.05635,253.85731,236.96879,16.88852,0.06210168,15.76497,15.72428,14.84682,120.24,129.78,0.774,109.603372,0.493437219
ske_56_2_66,C5H2N8O6,1.89132685,-29.6285619,270.00973,238.42553,1.8813,234.99042,110.37007,124.62036,3.04091,22.85578,-14.50815,265.88501,218.54712,47.33789,0.14634108,38.9099,18.7126,18.42886,57.53,177.46,0.7913,117.1078376,3.453805446
ske_56_2_67,C5H2N8O6,1.882603037,-29.6285619,270.00973,237.27332,1.8904,234.97368,116.87613,118.09754,5.12814,23.41875,-12.9733,224.90684,188.92956,35.97729,0.13437639,30.22217,18.49623,18.16888,60.56,174.42,0.7888,111.9904183,2.075965598
ske_56_2_68,C5H2N8O6,1.893470641,-29.6285619,270.00973,236.61345,1.8957,233.64932,124.98035,108.66897,5.6011,21.83233,-13.06646,188.40634,146.19015,42.21619,0.17386259,32.75681,17.73668,17.75538,63.67,169.98,0.7918,112.8562026,1.675368756
ske_56_2_69,C5H2N8O6,1.885071158,-29.6285619,270.00973,237.3441,1.8898,233.99848,114.52569,119.47279,4.08594,22.61232,-13.67331,214.41876,175.74808,38.67068,0.14782465,31.69638,18.31735,18.04832,57.15,176.85,0.7922,112.3939837,2.470534723
ske_56_30_5,C3N8O4,1.883866239,,212.00425,183.89429,1.9151,185.78188,91.65814,94.12373,5.8053,20.10673,-8.12151,248.78059,228.63007,20.15052,0.07443663,18.51839,14.79193,14.03459,93.1,92.68,0.8418,80.63890215,0.332590298
ske_56_3_65,C5N8O8,1.938568763,,299.98391,253.55725,1.9654,252.38007,128.02873,124.35134,6.71135,21.18794,-8.19336,259.20809,237.95772,21.25037,0.07526087,19.50823,15.55086,14.78532,120.86,131.52,0.7676,114.0053105,0.62521304
ske_56_3_66,C5H2N8O6,1.902553399,-29.6285619,270.00973,237.70269,1.887,236.16012,117.56789,118.59223,4.05592,23.33279,-15.05444,246.63408,193.9743,52.65978,0.16792567,41.41619,19.3744,19.17566,55.87,180.29,0.7858,119.0878808,3.092675508
ske_56_3_67,C5H2N8O6,1.901016333,-29.6285619,270.00973,237.75314,1.8866,236.51847,115.80145,120.71702,4.32526,23.79205,-14.34886,260.20767,209.4058,50.80188,0.15711884,40.88353,19.26446,18.97232,60.14,176.38,0.7847,118.9905114,2.876948125
ske_56_3_68,C5H2N8O6,1.873433871,-29.6285619,270.00973,237.94035,1.8851,236.8778,118.78247,118.09533,5.22525,22.67916,-12.33022,207.94838,173.86604,34.08234,0.13703551,28.49631,17.81702,17.5197,63.65,173.23,0.7839,111.8945259,1.893914888
ske_56_3_69,C5H2N8O6,1.880190585,-29.6285619,270.00973,237.70919,1.8869,235.9511,115.02465,120.92645,3.99522,21.97812,-13.11002,210.37295,172.87045,37.5025,0.1464877,30.81705,17.72118,17.43316,61.16,174.79,0.7865,112.8759171,2.560976323
ske_56_4_33,C5HN7O6,1.876273669,-28.23542367,254.99883,223.52652,1.8951,220.79451,105.22854,115.56597,5.15427,23.12867,-11.21232,227.58846,199.1743,28.41417,0.10926164,24.86669,17.48693,16.89154,70.27,150.53,0.8067,101.2495399,1.916331056
ske_56_4_65,C5N8O8,1.933279094,,299.98391,253.55016,1.9654,249.29282,127.25813,122.03469,6.70949,20.20693,-7.36568,246.64426,228.2889,18.35535,0.06888197,16.98934,14.73345,13.92084,132.4,116.89,0.7771,110.240249,0.749021286
ske_56_4_66,C5H2N8O6,1.903627092,-29.6285619,270.00973,237.06906,1.892,231.6173,107.80675,123.81055,3.8695,26.21928,-15.59134,287.22872,240.03938,47.18934,0.13730004,39.43652,20.93769,20.53814,46.21,185.4,0.7998,115.6407164,3.232181014
ske_56_4_67,C5H2N8O6,1.875875997,-29.6285619,270.00973,237.37792,1.8896,233.53419,115.48479,118.0494,5.03664,22.63546,-12.17985,208.77906,176.31311,32.46595,0.1313224,27.41737,17.71417,17.35025,65.5,168.03,0.7939,109.434164,2.127894978
ske_56_4_68,C5H2N8O6,1.873083725,-29.6285619,270.00973,237.20534,1.891,233.43831,122.69874,110.73956,5.48554,20.4463,-11.09088,170.27888,139.22549,31.05339,0.1491098,25.39025,16.12767,16.00823,76.01,157.43,0.7938,108.0227662,1.389789138
ske_56_4_69,C5H2N8O6,1.877060961,-29.6285619,270.00973,237.7476,1.8866,233.28804,113.32196,119.96609,4.33768,21.70213,-12.06507,214.07377,178.77816,35.29561,0.13769184,29.47621,17.09887,16.74637,70.89,162.4,0.7956,110.6379616,2.186107058
ske_56_5_33,C5HN7O6,1.880827074,-28.23542367,254.99883,224.0003,1.8911,226.5642,109.18377,117.38043,5.3206,24.32237,-12.35428,252.80174,219.34665,33.45509,0.11482412,29.02774,18.66378,18.12184,63.03,163.53,0.7873,106.8993819,1.937946767
ske_56_5_65,C5N8O8,1.93951345,,299.98391,254.10416,1.9611,255.27179,134.86512,120.40667,6.89092,20.79877,-8.68697,267.00589,242.69143,24.31446,0.08277084,22.1003,15.73099,15.08587,115.34,139.94,0.76,117.6062004,0.81198665
ske_56_5_66,C5H2N8O6,1.901582736,-29.6285619,270.00973,238.35529,1.8818,238.50633,113.37511,125.13122,4.16435,26.03819,-15.65445,334.51862,283.05746,51.46116,0.13017081,43.54456,20.96286,20.59041,50.85,187.65,0.7795,121.4581977,3.232605174
ske_56_5_67,C5H2N8O6,1.902321822,-29.6285619,270.00973,239.23764,1.8749,240.10734,114.52959,125.57775,3.2699,22.80266,-14.54439,299.3712,240.43436,58.93684,0.15811146,47.33402,18.76915,18.48353,67.31,172.8,0.7762,124.2538726,3.427751674
ske_56_5_68,C5H2N8O6,1.874011387,-29.6285619,270.00973,238.31173,1.8822,239.10721,122.0111,117.09611,5.2146,22.53555,-12.83338,200.90413,163.85619,37.04794,0.15040046,30.21607,17.97375,17.78418,61.62,177.48,0.7774,114.174698,1.666021224
ske_56_5_69,C5H2N8O6,1.897184452,-29.6285619,270.00973,238.08609,1.884,238.39491,119.92514,118.46977,4.29992,21.74664,-13.36114,223.11065,170.21669,52.89396,0.18087044,40.35412,17.77295,17.57948,70.36,168.03,0.7792,119.69895,2.321500333
ske_56_6_65,C5N8O8,1.942685142,,299.98391,253.42241,1.9664,250.6772,133.42616,117.25104,6.75119,20.07471,-8.41034,265.90458,242.95335,22.95123,0.07886371,20.97022,15.26569,14.61885,121.9,128.77,0.7726,114.1702383,0.556811823
ske_56_6_66,C5H2N8O6,1.909384242,-29.6285619,270.00973,237.06889,1.892,233.76396,116.97993,116.78403,5.37723,25.37433,-14.6534,283.71751,232.17632,51.54119,0.14866204,42.17802,20.31563,20.01836,54.57,179.19,0.7924,118.2371652,2.53788259
ske_56_6_67,C5H2N8O6,1.901545873,-29.6285619,270.00973,236.9829,1.8927,232.93746,114.59944,118.33802,4.06891,23.76372,-15.00369,236.97746,189.28078,47.69668,0.16076096,38.09673,19.55317,19.31341,53.79,179.15,0.795,115.5830285,3.003359129
ske_56_6_68,C5H2N8O6,1.876943099,-29.6285619,270.00973,237.95518,1.885,235.10587,114.65411,120.45176,4.59885,22.2175,-12.17177,204.63204,167.77717,36.85486,0.14766597,30.21719,17.44877,17.07077,70.3,164.81,0.7899,112.0566776,2.113331247
ske_56_6_69,C5H2N8O6,1.903942444,-29.6285619,270.00973,237.43705,1.8891,233.76,115.45643,118.30357,4.37053,21.99934,-12.83403,235.64177,182.72882,52.91295,0.17412635,41.03144,17.67391,17.36087,73.33,160.43,0.7933,117.6217538,2.198018816
ske_56_6_70,C5H4N8O4,1.848423904,-53.3254345,240.03555,224.83076,1.7736,222.99008,112.76828,110.2218,2.46632,24.8533,-20.43787,360.73445,261.05639,99.67806,0.19996716,72.13504,22.70303,22.6708,46.15,176.84,0.8019,126.5352605,4.33821474
ske_56_6_71,C5H4N8O4,1.823350526,-53.3254345,240.03555,221.88606,1.7971,218.68785,122.25763,96.43022,3.91107,19.92133,-16.3873,213.73741,139.38408,74.35332,0.22685716,48.48786,18.08501,18.363,51.47,167.22,0.8105,113.8560968,0.642059355
ske_56_6_73,C5H4N8O4,1.861434933,-53.3254345,240.03555,221.39665,1.8011,217.48313,125.65245,91.83068,3.11494,20.52172,-20.70286,273.12926,168.14642,104.98284,0.23662983,64.63053,20.18966,20.5982,46.44,171.04,0.8138,120.6944057,3.408598507
ske_56_6_74,C5H4N8O4,1.842096361,-53.3254345,240.03555,221.3458,1.8015,216.88741,121.60641,95.281,2.31087,18.19644,-17.96376,228.33892,134.79084,93.54808,0.24184403,55.22241,17.86657,18.09422,58.01,158.88,0.8159,116.2089488,1.293713927
ske_56_7_19,C4N8O6,1.905076481,,255.99408,219.34384,1.9387,217.8476,109.20663,108.64097,6.0249,19.93447,-7.95709,229.33843,211.0129,18.32553,0.07352109,16.86121,14.70346,13.96133,108.88,108.96,0.8074,93.73076817,0.814636541
ske_56_7_20,C4H2N8O4,1.83211393,-35.39511344,226.0199,203.56953,1.8444,202.85659,100.3021,102.55449,4.61553,22.36402,-12.74315,208.80478,173.86008,34.9447,0.13934787,29.0965,17.80449,17.50017,53.77,149.09,0.825,95.57585947,1.982402369
ske_56_7_21,C4H2N8O4,1.846870513,-35.39511344,226.0199,202.81478,1.8513,201.28889,108.93796,92.35093,5.29236,20.4392,-12.57499,172.81773,129.04434,43.77338,0.18913526,32.68593,16.73768,16.83112,58.54,142.75,0.8293,97.09762607,1.258515506
ske_56_7_22,C4H2N8O4,1.835599576,-35.39511344,226.0199,203.69878,1.8432,202.10886,98.11202,103.99685,3.61096,21.5333,-13.29722,210.7829,172.46184,38.32107,0.14875098,31.35416,17.55311,17.29535,51.95,150.16,0.8284,96.65487928,2.292787784
ske_56_8_19,C4N8O6,1.907404417,,255.99408,219.6029,1.9365,223.09313,111.89029,111.20284,6.13547,21.27223,-9.09486,247.55788,226.74177,20.81611,0.07701541,19.06577,15.86378,15.20231,96.15,126.94,0.789,98.10894198,0.797954687
ske_56_8_20,C4H2N8O4,1.865037751,-35.39511344,226.0199,204.73172,1.8339,207.72303,97.48664,110.23639,2.31243,23.3955,-16.33221,309.00877,246.26203,62.74674,0.16182552,50.00551,19.8463,19.64709,48.91,158.82,0.8087,109.3816437,3.482249835
ske_56_8_21,C4H2N8O4,1.842559006,-35.39511344,226.0199,203.87269,1.8417,207.04639,107.94331,99.10308,5.01124,22.72302,-14.28048,208.82231,163.62391,45.19839,0.16959616,35.41546,18.727,18.68199,47.81,159.24,0.8091,101.3369861,1.587871079
ske_56_8_22,C4H2N8O4,1.854006603,-35.39511344,226.0199,203.71673,1.8431,206.40924,103.57412,102.83512,3.57245,22.01216,-14.99977,223.38459,170.86983,52.51475,0.17982096,40.16923,18.64419,18.51852,49.12,157.29,0.8112,103.712229,2.510710116
ske_56_9_19,C4N8O6,1.906649747,,255.99408,219.52336,1.9372,222.77043,109.74571,113.02472,6.2774,21.99472,-8.98393,251.07102,231.12948,19.94154,0.07311743,18.35767,16.14582,15.39357,96.41,126.36,0.79,97.38345586,0.512474641
ske_56_9_20,C4H2N8O4,1.856807143,-35.39511344,226.0199,204.76745,1.8336,207.47184,99.12322,108.34862,2.41316,22.96915,-16.39259,279.09776,220.60214,58.49563,0.16566105,46.23563,19.69934,19.53465,45.63,161.84,0.8098,107.3897372,3.45051939
ske_56_9_21,C4H2N8O4,1.839492981,-35.39511344,226.0199,204.08381,1.8398,207.44683,106.33683,101.11,4.53487,22.38147,-14.23431,214.25008,170.3549,43.89518,0.16290315,34.90201,18.52433,18.41052,49.96,157.49,0.8081,101.2235422,2.024267089
ske_56_9_22,C4H2N8O4,1.858695459,-35.39511344,226.0199,203.58601,1.8443,205.99969,104.50628,101.49341,3.83301,22.61638,-15.50796,230.75008,175.91494,54.83515,0.18116654,41.80419,19.21451,19.11415,46.76,159.24,0.8124,104.4048209,2.424396914
TATB,C6H6N6O6,1.937,-55.80640881,258.03488,233.58887,1.8351,220.76277,139.91751,80.84526,4.56513,15.246,-13.92008,110.32307,50.88018,59.44289,0.24849398,27.41462,13.76436,14.76043,62.17,158.6,0.8309,102.9538542,0.000434299
TNT,C7H5N3O6,1.654,-74.00299465,227.01784,220.59145,1.7098,216.51914,123.94832,92.57081,5.61646,17.95009,-10.89774,93.02718,62.71913,30.30805,0.21965359,20.43375,14.48096,14.93492,63.88,152.64,0.8154,95.94422327,0.58730791
